Date,Open,High,Low,Close,Volume
2013-05-02 00:00:00-04:00,1802235.54028436,1828193.6653501843,1751246.36604792,1760517.125,4
2013-05-03 00:00:00-04:00,1703038.473151169,1716944.6120174008,1669663.739872213,1704892.625,8
2013-05-06 00:00:00-04:00,1678934.5808171746,1693767.79632964,1650195.225761773,1673372.125,4
2013-05-07 00:00:00-04:00,1658539.0116537183,1700257.4328523863,1651122.4034406217,1670591.0,2
2013-05-08 00:00:00-04:00,1673372.0935516444,1673372.0935516444,1603841.3971436813,1606622.625,4
2013-05-09 00:00:00-04:00,1603841.475938967,1614966.387910798,1560268.9040492957,1579737.5,4
2013-05-10 00:00:00-04:00,1597351.781927711,1597351.781927711,1537091.8481927712,1538946.0,3
2013-05-13 00:00:00-04:00,1564904.257327081,1591789.460800117,1531529.5219812426,1581591.625,5
2013-05-14 00:00:00-04:00,1583445.4708680143,1591789.1530915576,1550070.7419738406,1559341.5,2
2013-05-15 00:00:00-04:00,1550998.1151960783,1577883.3186274508,1500936.012254902,1512988.0,3
2013-05-16 00:00:00-04:00,1519477.423486211,1552852.15639988,1495373.4497152278,1546362.625,3
2013-05-17 00:00:00-04:00,1525967.12171875,1531529.5778125,1479613.3209375,1483321.625,8
2013-05-20 00:00:00-04:00,1477758.9335089894,1502789.9819435833,1470342.3265654058,1495373.375,2
2013-05-21 00:00:00-04:00,1480540.2097273853,1512060.7902726145,1478686.057930607,1496300.5,1
2013-05-22 00:00:00-04:00,1496300.5506198346,1589008.1435950412,1449946.7541322315,1570466.625,6
2013-05-23 00:00:00-04:00,1645559.939982217,1668736.840545347,1559341.869887374,1563977.25,6
2013-05-24 00:00:00-04:00,1578810.3354018913,1613112.145390071,1566758.3481087473,1568612.5,3
2013-05-28 00:00:00-04:00,1505571.3558394162,1537091.9384124088,1487029.836678832,1524112.875,3
2013-05-29 00:00:00-04:00,1567685.5441312385,1567685.5441312385,1493519.4628003698,1504644.375,3
2013-05-30 00:00:00-04:00,1497227.6598743557,1497227.6598743557,1422134.5078930412,1438821.875,4
2013-05-31 00:00:00-04:00,1469415.4313435163,1487956.9509819204,1427697.0121571072,1487029.875,3
2013-06-03 00:00:00-04:00,1477759.1029226903,1529675.3574795728,1439748.9879792584,1474977.875,4
2013-06-04 00:00:00-04:00,1469415.2856802288,1476831.8928003814,1409155.352828989,1458290.375,8
2013-06-05 00:00:00-04:00,1478686.1792021922,1527821.2058465285,1466634.1915347136,1522258.75,6
2013-06-06 00:00:00-04:00,1544508.3567551265,1574174.7837756332,1491665.033624849,1537091.75,5
2013-06-07 00:00:00-04:00,1496300.7152380953,1534310.8325396825,1455509.36984127,1460144.75,4
2013-06-10 00:00:00-04:00,1437894.951048387,1473123.8408870967,1429551.266612903,1436967.875,2
2013-06-11 00:00:00-04:00,1500935.8923716012,1534310.625,1465707.0079305137,1534310.625,4
2013-06-12 00:00:00-04:00,1484248.5964181288,1590862.3307017547,1479613.2166666668,1585299.875,4
2013-06-13 00:00:00-04:00,1599205.6899502177,1602913.9929993777,1481467.06813939,1489810.75,5
2013-06-14 00:00:00-04:00,1474050.6959001233,1514842.0359124537,1465707.012715783,1503717.125,3
2013-06-17 00:00:00-04:00,1452728.014255799,1465707.0775612113,1410082.5205380153,1438821.875,4
2013-06-18 00:00:00-04:00,1430478.056072395,1431405.1319350472,1366509.8215493911,1370218.125,6
2013-06-19 00:00:00-04:00,1363728.724573491,1418426.2057086613,1353530.8891076115,1412863.75,5
2013-06-20 00:00:00-04:00,1463852.9822922894,1559341.8088762704,1463852.9822922894,1550998.125,9
2013-06-21 00:00:00-04:00,1503717.1156626507,1588081.0228915664,1500008.8120481928,1538946.0,5
2013-06-24 00:00:00-04:00,1595497.812642207,1663174.3613481228,1563050.1523037541,1629799.625,7
2013-06-25 00:00:00-04:00,1597351.7021586038,1598278.7780159216,1499081.661282915,1513914.875,5
2013-06-26 00:00:00-04:00,1452728.0636689528,1515769.2304395263,1449019.7597412718,1487029.875,4
2013-06-27 00:00:00-04:00,1448092.5753618628,1474050.7009125235,1431405.208936438,1473123.625,4
2013-06-28 00:00:00-04:00,1500008.9741873806,1505571.4302103252,1431405.3499043977,1454582.25,4
2013-07-01 00:00:00-04:00,1421207.5041165294,1469415.4559848004,1414717.972134262,1463853.0,4
